place,type_of_meteorite,subgroup_of_meteorite,group_of_meteorite,mass_g,fell_found01,fell_found,year,longitude,latitude
LEW 88191,H6,Chondrite,Stony,32,1,Found,1988,161.37182,-84.27604
MET 001073,H6,Chondrite,Stony,32,1,Found,2000,159.75,-79.68333
TIL 07004,H6,Chondrite,Stony,32,1,Found,2007,-94.59667,-85.157
El M??dano 030,H6,Chondrite,Stony,32,1,Found,2010,-70.53333,-24.85
FRO 90156,H6,Chondrite,Stony,31.82,1,Found,1990,160.43506,-72.95614
ALHA77209,H6,Chondrite,Stony,31.8,1,Found,1977,159.66667,-76.71667
MET 01259,H6,Chondrite,Stony,31.7,1,Found,2001,159.75,-79.68333
A-881688,H6,Chondrite,Stony,31.56,1,Found,1988,26,-72
PCA 91270,H6,Chondrite,Stony,31.2,1,Found,1991,-68.85339,-85.69699
FRO 01113,H6,Chondrite,Stony,31.2,1,Found,2001,160.46222,-72.95417
A-881657,H6,Chondrite,Stony,31.16,1,Found,1988,26,-72
A-881205,H6,Chondrite,Stony,31.09,1,Found,1988,26,-72
LEW 85348,H6,Chondrite,Stony,31,1,Found,1985,161.39033,-84.27623
TIL 99006,H6,Chondrite,Stony,31,1,Found,2000,-94.57987,-85.16323
Y-793521,H6,Chondrite,Stony,30.93,1,Found,1979,35.66667,-71.5
MET 00832,H6,Chondrite,Stony,30.9,1,Found,2000,159.75,-79.68333
GRV 021514,H6,Chondrite,Stony,30.82,1,Found,2003,75.32028,-72.93472
LEW 85377,H6,Chondrite,Stony,30.8,1,Found,1985,161.39028,-84.27474
QUE 94346,H6,Chondrite,Stony,30.8,1,Found,1994,168,-84
A-881323,H6,Chondrite,Stony,30.62,1,Found,1988,26,-72
LEW 86181,H6,Chondrite,Stony,30.6,1,Found,1986,161.38813,-84.2585
LEW 87189,H6,Chondrite,Stony,30.6,1,Found,1987,161.718,-84.27255
A-880627,H6,Chondrite,Stony,30.6,1,Found,1988,26,-72
Reid 028,H6,Chondrite,Stony,30.6,1,Found,1999,128.8495,-30.12367
Alkali,H6,Chondrite,Stony,30.47,1,Found,1998,-117.4,37.86667
LEW 87115,H6,Chondrite,Stony,30.4,1,Found,1987,161.39572,-84.25321
MET 00934,H6,Chondrite,Stony,30.3,1,Found,2000,159.75,-79.68333
A-881959,H6,Chondrite,Stony,30.24,1,Found,1988,26,-72
LEW 87068,H6,Chondrite,Stony,30.1,1,Found,1987,161.38506,-84.25485
Y-793174,H6,Chondrite,Stony,30.01,1,Found,1979,35.66667,-71.5
Danebury,H6,Chondrite,Stony,30,1,Found,1974,-1.53611,51.13889
EET 83393,H6,Chondrite,Stony,30,1,Found,1983,157.23194,-76.29444
Dho 128,H6,Chondrite,Stony,30,1,Found,2000,54.71067,19.285
GRA 98072,H6,Chondrite,Stony,29.9,1,Found,1998,-141.5,-86.71667
