place,type_of_meteorite,subgroup_of_meteorite,group_of_meteorite,mass_g,fell_found01,fell_found,year,longitude,latitude
NWA 725,Acapulcoite,Achondrite,Stony,3824,1,Found,0,-5.05,30.6
Dho 125,Acapulcoite,Achondrite,Stony,2697,1,Found,2000,54.6005,18.98667
Acapulco,Acapulcoite,Achondrite,Stony,1914,0,Fell,1976,-99.9,16.88333
A-881902,Acapulcoite,Achondrite,Stony,907.87,1,Found,1988,26,-72
Monument Draw,Acapulcoite,Achondrite,Stony,524.5,1,Found,1985,-102.74333,32.50333
Dho 312,Acapulcoite,Achondrite,Stony,354,1,Found,2001,54.605,18.98833
MET 01195,Acapulcoite,Achondrite,Stony,98.7,1,Found,2001,159.75,-79.68333
MET 01198,Acapulcoite,Achondrite,Stony,98.5,1,Found,2001,159.75,-79.68333
Dho 1222,Acapulcoite,Achondrite,Stony,93,1,Found,2003,54.05667,18.20417
MET 01244,Acapulcoite,Achondrite,Stony,76.5,1,Found,2001,159.75,-79.68333
Dho 290,Acapulcoite,Achondrite,Stony,62,1,Found,2001,54.84333,19.315
TIL 99002,Acapulcoite,Achondrite,Stony,44.3,1,Found,2000,-94.57012,-85.1605
ALHA81187,Acapulcoite,Achondrite,Stony,40,1,Found,1981,159.31833,-76.69278
Y-74063,Acapulcoite,Achondrite,Stony,35.41,1,Found,1974,35.66667,-71.5
MET 01212,Acapulcoite,Achondrite,Stony,31.4,1,Found,2001,159.75,-79.68333
TIL 07012,Acapulcoite,Achondrite,Stony,30,1,Found,2007,-94.71883,-85.165
PCA 01026,Acapulcoite,Achondrite,Stony,29,1,Found,2002,-68.56933,-85.65205
GRA 98028,Acapulcoite,Achondrite,Stony,22.4,1,Found,1998,-141.5,-86.71667
Yabrin 003,Acapulcoite,Achondrite,Stony,21.048,1,Found,2008,48.62988,23.31522
ALHA81261,Acapulcoite,Achondrite,Stony,11.8,1,Found,1981,159.38695,-76.69111
El M??dano 096,Acapulcoite,Achondrite,Stony,11.1,1,Found,2011,-70.53333,-24.85
ALHA77081,Acapulcoite,Achondrite,Stony,8.6,1,Found,1977,159.66667,-76.71667
FRO 95029,Acapulcoite,Achondrite,Stony,8.3,1,Found,1995,160.417,-72.99133
GSS 032,Acapulcoite,Achondrite,Stony,8.3,1,Found,2006,25.45567,26.18667
ALH 84190,Acapulcoite,Achondrite,Stony,7.9,1,Found,1984,159.33783,-76.68361
MET 01232,Acapulcoite,Achondrite,Stony,7.6,1,Found,2001,159.75,-79.68333
ALHA78230,Acapulcoite,Achondrite,Stony,3.87,1,Found,1977,159.66667,-76.71667
ALHA81315,Acapulcoite,Achondrite,Stony,2.5,1,Found,1981,159.36889,-76.68861
GRV 021663,Acapulcoite,Achondrite,Stony,2.19,1,Found,2003,75.339722,-72.773611
SuV 014,Acapulcoite,Achondrite,Stony,1.77,1,Found,2002,-117.04212,35.236
EET 84302,Acapulcoite/Lodranite,Achondrite,Stony,59.6,1,Found,1984,157.17611,-76.27639
LEW 86220,Acapulcoite/Lodranite,Achondrite,Stony,25,1,Found,1986,161.34898,-84.25442
FRO 93001,Acapulcoite/Lodranite,Achondrite,Stony,4.86,1,Found,1993,160.49139,-72.95556
Divnoe,Achondrite-ung,Achondrite,Stony,12700,1,Found,1981,43.7,45.7
Al Huwaysah 010,Achondrite-ung,Achondrite,Stony,1411.8,1,Found,2010,55.47218,22.74868
Dho 1441,Achondrite-ung,Achondrite,Stony,267.8,1,Found,2003,54.48383,18.436
SaU 493,Achondrite-ung,Achondrite,Stony,134,1,Found,2009,57.3,20.53333
DaG 962,Achondrite-ung,Achondrite,Stony,130,1,Found,1998,16.4085,27.198
Dho 500,Achondrite-ung,Achondrite,Stony,116,1,Found,2000,54.20333,18.38667
A-881548,Achondrite-ung,Achondrite,Stony,110.16,1,Found,1988,26,-72
NWA 011,Achondrite-ung,Achondrite,Stony,40,1,Found,1999,-4.33333,31.33333
Dho 732,Achondrite-ung,Achondrite,Stony,17,1,Found,2002,54.57833,19.405
Y-8307,Achondrite-ung,Achondrite,Stony,3.37,1,Found,1983,35.66667,-71.5
QUE 93148,Achondrite-ung,Achondrite,Stony,1.1,1,Found,1993,162.56681,-84.57584
Silistra,Achondrite-ung,Achondrite,Stony,0.15,0,Fell,1917,27.26667,44.11667
LEW 86010,Angrite,Achondrite,Stony,6.9,1,Found,1986,161.5352,-84.23589
D'Orbigny,Angrite,Achondrite,Stony,16550,1,Found,1979,-61.65,-37.66667
Angra dos Reis (stone),Angrite,Achondrite,Stony,1500,0,Fell,1869,-44.31667,-22.96667
NWA 4590,Angrite,Achondrite,Stony,212.8,1,Found,2006,-4.94288,30.31708
A-881371,Angrite,Achondrite,Stony,11.27,1,Found,1988,26,-72
LEW 87051,Angrite,Achondrite,Stony,0.6,1,Found,1987,161.4824,-84.348
Al Haggounia 001,Aubrite,Achondrite,Stony,3000000,1,Found,2006,-12.5,27.5
Norton County,Aubrite,Achondrite,Stony,1100000,0,Fell,1948,-99.86667,39.68333
Pe??a Blanca Spring,Aubrite,Achondrite,Stony,70000,0,Fell,1946,-103.11667,30.125
Cumberland Falls,Aubrite,Achondrite,Stony,17000,0,Fell,1919,-84.35,36.83333
Bishopville,Aubrite,Achondrite,Stony,6000,0,Fell,1843,-80.28333,34.16667
Mayo Belwa,Aubrite,Achondrite,Stony,4850,0,Fell,1974,12.08333,8.96667
Shallowater,Aubrite,Achondrite,Stony,4650,1,Found,1936,-101.93333,33.7
Pesyanoe,Aubrite,Achondrite,Stony,3393,0,Fell,1933,66.08333,55.5
Khor Temiki,Aubrite,Achondrite,Stony,3200,0,Fell,1932,36,16
Bustee,Aubrite,Achondrite,Stony,1500,0,Fell,1852,82.83333,26.78333
Aubres,Aubrite,Achondrite,Stony,800,0,Fell,1836,5.16667,44.38333
ALH 84007,Aubrite,Achondrite,Stony,705.6,1,Found,1984,158.50193,-76.87783
ALH 84009,Aubrite,Achondrite,Stony,335.6,1,Found,1984,158.52417,-76.86569
ALH 84010,Aubrite,Achondrite,Stony,303,1,Found,1984,158.61378,-76.88572
ALH 84008,Aubrite,Achondrite,Stony,301.6,1,Found,1984,158.57931,-76.88238
ALHA78113,Aubrite,Achondrite,Stony,298.6,1,Found,1978,159.66667,-76.71667
ALH 84015,Aubrite,Achondrite,Stony,263.9,1,Found,1984,158.60279,-76.88495
ALH 84023,Aubrite,Achondrite,Stony,262.4,1,Found,1984,158.58451,-76.89846
ALH 84012,Aubrite,Achondrite,Stony,224.7,1,Found,1984,158.53214,-76.88304
ALH 84024,Aubrite,Achondrite,Stony,194.4,1,Found,1984,158.54311,-76.872
ALH 84020,Aubrite,Achondrite,Stony,191.1,1,Found,1984,158.53785,-76.86997
ALH 84013,Aubrite,Achondrite,Stony,159.9,1,Found,1984,158.59203,-76.8982
ALH 84016,Aubrite,Achondrite,Stony,149.7,1,Found,1984,158.58777,-76.88429
ALH 84011,Aubrite,Achondrite,Stony,138.2,1,Found,1984,158.61831,-76.87851
ALH 84019,Aubrite,Achondrite,Stony,93.2,1,Found,1984,158.50969,-76.84714
ALH 84018,Aubrite,Achondrite,Stony,81.7,1,Found,1984,158.51818,-76.86224
ALH 84017,Aubrite,Achondrite,Stony,79.8,1,Found,1984,158.662,-76.88322
ALH 84014,Aubrite,Achondrite,Stony,49.4,1,Found,1984,158.67508,-76.88435
ALH 84021,Aubrite,Achondrite,Stony,35.7,1,Found,1984,158.50622,-76.85453
Y-793592,Aubrite,Achondrite,Stony,31.99,1,Found,1979,35.66667,-71.5
LAP 03780,Aubrite,Achondrite,Stony,21.81,1,Found,2003,-70,-86.36667
LAP 02233,Aubrite,Achondrite,Stony,18.1,1,Found,2002,-70,-86.36667
LAP 031372,Aubrite,Achondrite,Stony,17.61,1,Found,2003,-70,-86.36667
LAP 031269,Aubrite,Achondrite,Stony,12.93,1,Found,2003,-70,-86.36667
ALH 84022,Aubrite,Achondrite,Stony,12.5,1,Found,1984,158.80784,-76.77022
LEW 87294,Aubrite,Achondrite,Stony,3.9,1,Found,1987,161.47061,-84.34467
EET 90033,Aubrite,Achondrite,Stony,3.9,1,Found,1990,156.44289,-76.2861
EET 90757,Aubrite,Achondrite,Stony,3.7,1,Found,1990,156.49583,-76.28575
LEW 87007,Aubrite,Achondrite,Stony,3.2,1,Found,1987,161.47054,-84.34449
ALH 83015,Aubrite,Achondrite,Stony,3.1,1,Found,1983,158.21305,-76.82221
LEW 87020,Aubrite,Achondrite,Stony,1.9,1,Found,1987,161.47161,-84.34492
ALH 83009,Aubrite,Achondrite,Stony,1.7,1,Found,1983,158.20666,-76.82204
LEW 87017,Aubrite,Achondrite,Stony,1.3,1,Found,1987,161.46676,-84.34415
LEW 87018,Aubrite,Achondrite,Stony,1.2,1,Found,1987,161.48015,-84.34665
LEW 87011,Aubrite,Achondrite,Stony,1,1,Found,1987,161.46675,-84.34415
LEW 87019,Aubrite,Achondrite,Stony,0.5,1,Found,1987,161.48221,-84.34738
LEW 87021,Aubrite,Achondrite,Stony,0.5,1,Found,1987,161.47056,-84.34472
LEW 87013,Aubrite,Achondrite,Stony,0.2,1,Found,1987,161.46674,-84.34415
LEW 87056,Aubrite,Achondrite,Stony,0.1,1,Found,1987,161.47809,-84.34532
Larned,Aubrite-an,Achondrite,Stony,28100,1,Found,1977,-99.162,38.1995
Mount Egerton,Aubrite-an,Achondrite,Stony,22000,1,Found,1941,117.7,-24.76667
LAP 03719,Aubrite-an,Achondrite,Stony,62.02,1,Found,2003,-70,-86.36667
QUE 97289,Aubrite-an,Achondrite,Stony,51.9,1,Found,1997,168,-84
QUE 97348,Aubrite-an,Achondrite,Stony,50.7,1,Found,1997,168,-84
RaS 309,Brachinite,Achondrite,Stony,1435.43,1,Found,2009,55.43587,20.7658
Hughes 026,Brachinite,Achondrite,Stony,360,1,Found,1995,129.16667,-30
Reid 013,Brachinite,Achondrite,Stony,330,1,Found,1991,128.91667,-30.08333
Brachina,Brachinite,Achondrite,Stony,202.9,1,Found,1974,138.38333,-31.3
EET 99402,Brachinite,Achondrite,Stony,180.5,1,Found,1999,157.16667,-76.18333
EET 99407,Brachinite,Achondrite,Stony,60,1,Found,1999,157.16667,-76.18333
Reid 027,Brachinite,Achondrite,Stony,19.7,1,Found,1991,128.37333,-30.31806
ALH 84025,Brachinite,Achondrite,Stony,4.6,1,Found,1984,157.02695,-77.02267
LEW 88763,Brachinite,Achondrite,Stony,4.1,1,Found,1988,161.40139,-84.24585
Sutter's Mill,C,Chondrite,Stony,992.5,0,Fell,2012,-120.90806,38.80389
Y-86770,C,Chondrite,Stony,94.89,1,Found,1986,35.66667,-71.5
Y-86772,C,Chondrite,Stony,81,1,Found,1986,35.66667,-71.5
Y-86771,C,Chondrite,Stony,38.31,1,Found,1986,35.66667,-71.5
Y-86773,C,Chondrite,Stony,28.35,1,Found,1986,35.66667,-71.5
Y-793581,C,Chondrite,Stony,11.44,1,Found,1979,35.66667,-71.5
Y-86767,C,Chondrite,Stony,2.86,1,Found,1986,35.66667,-71.5
Y-793277,C,Chondrite,Stony,2.23,1,Found,1979,35.66667,-71.5
Y-82162,C1/2-ung,Chondrite,Stony,41.73,1,Found,1982,35.66667,-71.5
EET 92006,C2,Chondrite,Stony,0.8,1,Found,1992,156.45457,-76.04972
Tagish Lake,C2-ung,Chondrite,Stony,10000,0,Fell,2000,-134.20139,59.70444
B-7904,C2-ung,Chondrite,Stony,1234,1,Found,1979,31.25,-72.58333
Y-86720,C2-ung,Chondrite,Stony,858.71,1,Found,1986,35.66667,-71.5
Essebi,C2-ung,Chondrite,Stony,500,0,Fell,1957,30.83333,2.88333
Bells,C2-ung,Chondrite,Stony,375,0,Fell,1961,-96.46667,33.6
Y-86789,C2-ung,Chondrite,Stony,340.36,1,Found,1986,35.66667,-71.5
MAC 87300,C2-ung,Chondrite,Stony,167.5,1,Found,1987,160.5,-84.21667
Acfer 094,C2-ung,Chondrite,Stony,82,1,Found,1990,4.43333,27.73333
EET 83355,C2-ung,Chondrite,Stony,66.2,1,Found,1983,157.27861,-76.28583
GRO 95566,C2-ung,Chondrite,Stony,50.7,1,Found,1995,175,-85.66667
EET 83226,C2-ung,Chondrite,Stony,33.1,1,Found,1983,157.22917,-76.28278
Ningqiang,C3-ung,Chondrite,Stony,4610,0,Fell,1983,105.90667,32.925
DaG 056,C3-ung,Chondrite,Stony,703,1,Found,1995,16.41317,27.26783
DaG 430,C3-ung,Chondrite,Stony,572,1,Found,1998,16.41167,27.27933
DaG 055,C3-ung,Chondrite,Stony,451,1,Found,1995,16.42033,27.26717
DaG 429,C3-ung,Chondrite,Stony,253,1,Found,1998,16.41733,27.28133
MAC 88107,C3-ung,Chondrite,Stony,192.8,1,Found,1988,160.5,-84.21667
NWA 033,C3-ung,Chondrite,Stony,192,1,Found,1999,-3.96667,30.9
LEW 85332,C3-ung,Chondrite,Stony,113.7,1,Found,1985,161.33639,-84.29006
MAC 87301,C3-ung,Chondrite,Stony,110.9,1,Found,1987,160.5,-84.21667
DaG 978,C3-ung,Chondrite,Stony,44.4,1,Found,1999,16.40567,27.28067
A-882113,C4,Chondrite,Stony,53.98,1,Found,1988,26,-72
Y-86633,C4,Chondrite,Stony,3.96,1,Found,1986,35.66667,-71.5
EET 96026,C4/5,Chondrite,Stony,226,1,Found,1996,157.16667,-76.18333
Coolidge,C4-ung,Chondrite,Stony,4500,1,Found,1937,-101.98333,38.03333
HaH 073,C4-ung,Chondrite,Stony,569,1,Found,1994,12.87017,28.78767
Loongana 001,C4-ung,Chondrite,Stony,179,1,Found,1990,127.16667,-30.6
Mulga (west),C5/6-ung,Chondrite,Stony,169.2,1,Found,1971,126.36667,-30.18333
A-881551,C6,Chondrite,Stony,162.48,1,Found,1988,26,-72
Y-86028,C6,Chondrite,Stony,3.92,1,Found,1986,35.66667,-71.5
Bencubbin,CBa,Chondrite,Stony,118000,1,Found,1930,117.78333,-30.75
Gujba,CBa,Chondrite,Stony,100000,0,Fell,1984,11.65833,11.49167
Weatherford,CBa,Chondrite,Stony,2000,1,Found,1926,-98.7,35.5
Fountain Hills,CBa,Chondrite,Stony,60,1,Found,2002,-111.72,33.61
HaH 237,CBb,Chondrite,Stony,3173,1,Found,1997,13.04917,28.60933
QUE 94411,CBb,Chondrite,Stony,39.7,1,Found,1994,168,-84
QUE 94627,CBb,Chondrite,Stony,30.5,1,Found,1994,168,-84
QUE 99309,CBb,Chondrite,Stony,1.75,1,Found,1999,168,-84
Isheyevo,CH/CBb,Chondrite,Stony,16000,1,Found,2003,56.33333,53.61667
SaU 290,CH3,Chondrite,Stony,1796,1,Found,2004,57.14703,21.07544
Acfer 366,CH3,Chondrite,Stony,1456,1,Found,2002,3.93567,26.60933
Acfer 214,CH3,Chondrite,Stony,612,1,Found,1991,4.37861,27.69
Acfer 182,CH3,Chondrite,Stony,166,1,Found,1990,4.35,27.7
Acfer 207,CH3,Chondrite,Stony,105,1,Found,1991,4.37194,27.68806
NWA 470,CH3,Chondrite,Stony,62.9,1,Found,1999,-4.18667,31.98333
A-881020,CH3,Chondrite,Stony,52.12,1,Found,1988,26,-72
A-881541,CH3,Chondrite,Stony,49.11,1,Found,1988,26,-72
PCA 91467,CH3,Chondrite,Stony,46.9,1,Found,1991,-69.05982,-85.67876
NWA 770,CH3,Chondrite,Stony,18.1,1,Found,2000,-11.83383,20.34667
PAT 91546,CH3,Chondrite,Stony,17.9,1,Found,1991,-62.14942,-84.57525
ALH 85085,CH3,Chondrite,Stony,11.9,1,Found,1985,156.42015,-76.84838
PCA 91328,CH3,Chondrite,Stony,11,1,Found,1991,-69.07009,-85.67872
A-881691,CH3,Chondrite,Stony,9.12,1,Found,1988,26,-72
PCA 91452,CH3,Chondrite,Stony,7.2,1,Found,1991,-69.06662,-85.67874
RKP 92435,CH3,Chondrite,Stony,4.6,1,Found,1992,158.10208,-76.23129
EET 96238,CH3,Chondrite,Stony,0.4,1,Found,1996,157.16667,-76.18333
DAV 92308,Chondrite-fusion crust,Chondrite,Stony,1.7,1,Found,1992,162,-75.31667
LEW 87241,Chondrite-fusion crust,Chondrite,Stony,0.5,1,Found,1987,161.31058,-84.34563
ALH 88096,Chondrite-uncl,Chondrite,Stony,12.32,1,Found,1988,159.33333,-76.71667
ALH 88151,Chondrite-uncl,Chondrite,Stony,10.17,1,Found,1988,159.33333,-76.71667
ALH 88162,Chondrite-uncl,Chondrite,Stony,8.02,1,Found,1988,159.33333,-76.71667
ALH 88125,Chondrite-uncl,Chondrite,Stony,7.22,1,Found,1988,159.33333,-76.71667
ALH 88123,Chondrite-uncl,Chondrite,Stony,6.86,1,Found,1988,159.33333,-76.71667
ALH 88122,Chondrite-uncl,Chondrite,Stony,6.83,1,Found,1988,159.33333,-76.71667
ALH 88120,Chondrite-uncl,Chondrite,Stony,5.54,1,Found,1988,159.33333,-76.71667
ALH 88121,Chondrite-uncl,Chondrite,Stony,5.29,1,Found,1988,159.33333,-76.71667
ALH 88127,Chondrite-uncl,Chondrite,Stony,4.86,1,Found,1988,159.33333,-76.71667
ALH 88133,Chondrite-uncl,Chondrite,Stony,4.79,1,Found,1988,159.33333,-76.71667
ALH 88131,Chondrite-uncl,Chondrite,Stony,4.78,1,Found,1988,159.33333,-76.71667
ALH 88128,Chondrite-uncl,Chondrite,Stony,4.72,1,Found,1988,159.33333,-76.71667
ALH 88126,Chondrite-uncl,Chondrite,Stony,4.67,1,Found,1988,159.33333,-76.71667
ALH 88130,Chondrite-uncl,Chondrite,Stony,4.63,1,Found,1988,159.33333,-76.71667
ALH 88134,Chondrite-uncl,Chondrite,Stony,4.43,1,Found,1988,159.33333,-76.71667
ALH 88132,Chondrite-uncl,Chondrite,Stony,4.23,1,Found,1988,159.33333,-76.71667
ALH 88141,Chondrite-uncl,Chondrite,Stony,3.97,1,Found,1988,159.33333,-76.71667
ALH 88138,Chondrite-uncl,Chondrite,Stony,3.77,1,Found,1988,159.33333,-76.71667
FRO 90193,Chondrite-uncl,Chondrite,Stony,3.74,1,Found,1990,160.37584,-72.99083
ALH 88140,Chondrite-uncl,Chondrite,Stony,3.65,1,Found,1988,159.33333,-76.71667
ALH 88137,Chondrite-uncl,Chondrite,Stony,3.48,1,Found,1988,159.33333,-76.71667
ALH 88139,Chondrite-uncl,Chondrite,Stony,3.23,1,Found,1988,159.33333,-76.71667
ALH 88136,Chondrite-uncl,Chondrite,Stony,3.11,1,Found,1988,159.33333,-76.71667
ALH 88142,Chondrite-uncl,Chondrite,Stony,2.99,1,Found,1988,159.33333,-76.71667
ALH 88146,Chondrite-uncl,Chondrite,Stony,2.98,1,Found,1988,159.33333,-76.71667
ALH 88144,Chondrite-uncl,Chondrite,Stony,2.77,1,Found,1988,159.33333,-76.71667
ALH 88145,Chondrite-uncl,Chondrite,Stony,2.71,1,Found,1988,159.33333,-76.71667
ALH 88147,Chondrite-uncl,Chondrite,Stony,2.65,1,Found,1988,159.33333,-76.71667
ALH 88143,Chondrite-uncl,Chondrite,Stony,2.64,1,Found,1988,159.33333,-76.71667
ALH 88163,Chondrite-uncl,Chondrite,Stony,2.49,1,Found,1988,159.33333,-76.71667
ALH 88150,Chondrite-uncl,Chondrite,Stony,2.29,1,Found,1988,159.33333,-76.71667
ALH 88164,Chondrite-uncl,Chondrite,Stony,2.29,1,Found,1988,159.33333,-76.71667
ALH 88165,Chondrite-uncl,Chondrite,Stony,2.1,1,Found,1988,159.33333,-76.71667
ALH 88156,Chondrite-uncl,Chondrite,Stony,2.01,1,Found,1988,159.33333,-76.71667
ALH 88166,Chondrite-uncl,Chondrite,Stony,2.01,1,Found,1988,159.33333,-76.71667
ALH 88167,Chondrite-uncl,Chondrite,Stony,1.91,1,Found,1988,159.33333,-76.71667
ALH 88168,Chondrite-uncl,Chondrite,Stony,1.91,1,Found,1988,159.33333,-76.71667
ALH 88161,Chondrite-uncl,Chondrite,Stony,1.85,1,Found,1988,159.33333,-76.71667
ALH 88160,Chondrite-uncl,Chondrite,Stony,1.75,1,Found,1988,159.33333,-76.71667
ALH 88169,Chondrite-uncl,Chondrite,Stony,1.69,1,Found,1988,159.33333,-76.71667
ALH 88153,Chondrite-uncl,Chondrite,Stony,1.68,1,Found,1988,159.33333,-76.71667
ALH 88170,Chondrite-uncl,Chondrite,Stony,1.56,1,Found,1988,159.33333,-76.71667
ALH 88152,Chondrite-uncl,Chondrite,Stony,1.54,1,Found,1988,159.33333,-76.71667
ALH 88171,Chondrite-uncl,Chondrite,Stony,1.5,1,Found,1988,159.33333,-76.71667
ALH 88172,Chondrite-uncl,Chondrite,Stony,1.46,1,Found,1988,159.33333,-76.71667
FRO 90188,Chondrite-uncl,Chondrite,Stony,1.44,1,Found,1990,160.37584,-72.99083
ALH 88173,Chondrite-uncl,Chondrite,Stony,1.41,1,Found,1988,159.33333,-76.71667
ALH 88174,Chondrite-uncl,Chondrite,Stony,1.37,1,Found,1988,159.33333,-76.71667
ALH 88175,Chondrite-uncl,Chondrite,Stony,1.35,1,Found,1988,159.33333,-76.71667
ALH 88176,Chondrite-uncl,Chondrite,Stony,1.33,1,Found,1988,159.33333,-76.71667
ALH 88177,Chondrite-uncl,Chondrite,Stony,1.27,1,Found,1988,159.33333,-76.71667
ALH 88178,Chondrite-uncl,Chondrite,Stony,1.26,1,Found,1988,159.33333,-76.71667
ALH 88179,Chondrite-uncl,Chondrite,Stony,1.2,1,Found,1988,159.33333,-76.71667
ALH 88157,Chondrite-uncl,Chondrite,Stony,1.16,1,Found,1988,159.33333,-76.71667
ALH 88180,Chondrite-uncl,Chondrite,Stony,1.13,1,Found,1988,159.33333,-76.71667
ALH 88181,Chondrite-uncl,Chondrite,Stony,0.91,1,Found,1988,159.33333,-76.71667
ALH 88182,Chondrite-uncl,Chondrite,Stony,0.91,1,Found,1988,159.33333,-76.71667
ALH 88183,Chondrite-uncl,Chondrite,Stony,0.86,1,Found,1988,159.33333,-76.71667
ALH 88184,Chondrite-uncl,Chondrite,Stony,0.84,1,Found,1988,159.33333,-76.71667
ALH 88185,Chondrite-uncl,Chondrite,Stony,0.82,1,Found,1988,159.33333,-76.71667
ALH 88186,Chondrite-uncl,Chondrite,Stony,0.61,1,Found,1988,159.33333,-76.71667
ALH 88187,Chondrite-uncl,Chondrite,Stony,0.46,1,Found,1988,159.33333,-76.71667
ALH 88188,Chondrite-uncl,Chondrite,Stony,0.43,1,Found,1988,159.33333,-76.71667
ALH 88189,Chondrite-uncl,Chondrite,Stony,0.41,1,Found,1988,159.33333,-76.71667
ALH 88158,Chondrite-uncl,Chondrite,Stony,0.38,1,Found,1988,159.33333,-76.71667
ALH 88190,Chondrite-uncl,Chondrite,Stony,0.35,1,Found,1988,159.33333,-76.71667
ALH 88191,Chondrite-uncl,Chondrite,Stony,0.26,1,Found,1988,159.33333,-76.71667
ALH 88192,Chondrite-uncl,Chondrite,Stony,0.25,1,Found,1988,159.33333,-76.71667
ALH 88193,Chondrite-uncl,Chondrite,Stony,0.22,1,Found,1988,159.33333,-76.71667
ALH 88194,Chondrite-uncl,Chondrite,Stony,0.19,1,Found,1988,159.33333,-76.71667
ALH 88195,Chondrite-uncl,Chondrite,Stony,0.17,1,Found,1988,159.33333,-76.71667
ALH 88196,Chondrite-uncl,Chondrite,Stony,0.1,1,Found,1988,159.33333,-76.71667
ALH 88197,Chondrite-uncl,Chondrite,Stony,0.09,1,Found,1988,159.33333,-76.71667
ALH 88198,Chondrite-uncl,Chondrite,Stony,0.05,1,Found,1988,159.33333,-76.71667
HaH 180,Chondrite-ung,Chondrite,Stony,936,1,Found,1996,13.30067,28.6035
Motpena (b),Chondrite-ung,Chondrite,Stony,304,1,Found,1972,138.3,-31.2
GRO 95551,Chondrite-ung,Chondrite,Stony,213.4,1,Found,1995,175,-85.66667
Dho 535,Chondrite-ung,Chondrite,Stony,204,1,Found,2000,54.795,19.33333
RaS 211,Chondrite-ung,Chondrite,Stony,143.03,1,Found,2003,55.87252,20.58587
Acfer 370,Chondrite-ung,Chondrite,Stony,129,1,Found,2002,4.35667,27.6725
Deakin 001,Chondrite-ung,Chondrite,Stony,109.5,1,Found,1978,128.96667,-30.88333
Orgueil,CI1,Chondrite,Stony,14000,0,Fell,1864,1.38333,43.88333
Alais,CI1,Chondrite,Stony,6000,0,Fell,1806,4.08333,44.11667
Ivuna,CI1,Chondrite,Stony,704.5,0,Fell,1938,32.43333,-8.41667
Y-86029,CI1,Chondrite,Stony,11.83,1,Found,1986,35.66667,-71.5
Tonk,CI1,Chondrite,Stony,7.7,0,Fell,1911,76.86667,24.65
Y-86737,CI1,Chondrite,Stony,2.81,1,Found,1986,35.66667,-71.5
Revelstoke,CI1,Chondrite,Stony,1,0,Fell,1965,-118.95,51.33333
Hart,CK3,Chondrite,Stony,966,1,Found,2010,-102.11672,34.37718
Dho 015,CK3,Chondrite,Stony,184,1,Found,2000,54.43,18.64333
Dho 1430,CK3,Chondrite,Stony,134,1,Found,2006,54.24,18.56944
NWA 772,CK3,Chondrite,Stony,71,1,Found,2000,-11.6935,26.44933
Camel Donga 003,CK3,Chondrite,Stony,36.6,1,Found,1990,126.91667,-30.11667
DaG 431,CK3-an,Chondrite,Stony,353,1,Found,1998,16.232,27.31283
Watson 002,CK3-an,Chondrite,Stony,83.8,1,Found,1991,131.51667,-30.71667
Karoonda,CK4,Chondrite,Stony,41730,0,Fell,1930,139.91667,-35.08333
HaH 280,CK4,Chondrite,Stony,26500,1,Found,2000,12.972,28.47017
HaH 281,CK4,Chondrite,Stony,3598,1,Found,2000,13.213,28.4925
Cook 003,CK4,Chondrite,Stony,1536.9,1,Found,1986,129.06333,-30.31833
ALH 85002,CK4,Chondrite,Stony,437.7,1,Found,1985,156.53194,-76.91661
HaH 337,CK4,Chondrite,Stony,198,1,Found,2001,12.12333,29.48333
NWA 735,CK4,Chondrite,Stony,161,1,Found,1999,-4.11667,30.61667
NWA 4422,CK4,Chondrite,Stony,147.72,1,Found,2006,-3.46667,32.26667
Kobe,CK4,Chondrite,Stony,136,0,Fell,1999,135.16667,34.73333
PCA 91470,CK4,Chondrite,Stony,33.5,1,Found,1991,-68.26602,-85.67713
A-880691,CK4,Chondrite,Stony,28.77,1,Found,1988,26,-72
EET 99430,CK4,Chondrite,Stony,27.1,1,Found,1999,157.16667,-76.18333
DAV 92300,CK4,Chondrite,Stony,26.7,1,Found,1992,162,-75.31667
LEW 86258,CK4,Chondrite,Stony,24.1,1,Found,1986,161.36621,-84.25457
A-881951,CK4,Chondrite,Stony,23.88,1,Found,1988,26,-72
A-881473,CK4,Chondrite,Stony,17.65,1,Found,1988,26,-72
ALH 84038,CK4,Chondrite,Stony,12.3,1,Found,1984,157.05112,-76.88906
ALH 82135,CK4,Chondrite,Stony,12.1,1,Found,1982,156.97559,-76.91276
LV 032,CK4,Chondrite,Stony,11.87,1,Found,2004,-116.94985,34.49015
GRV 020015,CK4,Chondrite,Stony,10.1,1,Found,2002,75.10639,-73.12139
LV 029,CK4,Chondrite,Stony,10.1,1,Found,2003,-116.956,34.487
MET 00739,CK4,Chondrite,Stony,9.21,1,Found,2000,155.75,-79.68333
GRA 98102,CK4,Chondrite,Stony,7,1,Found,1998,-141.5,-86.71667
LV 097,CK4,Chondrite,Stony,6.5,1,Found,2008,-116.95673,34.48565
Sleeper Camp 006,CK4,Chondrite,Stony,6.04,1,Found,1992,126.40433,-30.16667
LV 030,CK4,Chondrite,Stony,4.12,1,Found,2004,-116.95797,34.48708
LV 101,CK4,Chondrite,Stony,4,1,Found,2008,-116.95593,34.48598
QUE 99679,CK4,Chondrite,Stony,3.7,1,Found,1999,168,-84
LV 031,CK4,Chondrite,Stony,3.22,1,Found,2004,-116.9578,34.4871
LV 028,CK4,Chondrite,Stony,3,1,Found,2003,-116.95567,34.4875
